date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:20	153944/153944	---MCZ	200	added ('OK')	font/ttf	etag:W/%2225958-197d4546692%22	https://dharmanandanjewellers.bytecard.in/_next/static/media/poppins-bold.8001a01b.ttf	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/media/poppins-bold.8001a01b.ttf	(from https://dharmanandanjewellers.bytecard.in/_next/static/css/9eba69d77386cb6f.css)
11:18:20	16540/16540	---M--	200	added ('OK')	font/woff2	etag:W/%22409c-197d4546692%22	https://dharmanandanjewellers.bytecard.in/_next/static/media/poppins-medium.2325a4bc.woff2	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/media/poppins-medium.2325a4bc.woff2	(from https://dharmanandanjewellers.bytecard.in/_next/static/css/9eba69d77386cb6f.css)
11:18:21	29761/29761	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/75-69a898ddfdf912b4.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/75-69a898ddfdf912b4.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:21	43988/43988	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/664-a0b8a2c9de0237ea.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/664-a0b8a2c9de0237ea.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:21	25477/25477	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/683-b35c8a47bf3dfff8.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/683-b35c8a47bf3dfff8.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:21	40246/40246	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/app/page-2ed832bd86ad609b.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/app/page-2ed832bd86ad609b.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:22	8309/8309	URF---	200	added ('OK%20(cached)')	image/jpeg		https://bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/27571750914689107.jpg	/home/user/websites/Dj%20sample/bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/27571750914689107.jpg	(from https://dharmanandanjewellers.bytecard.in/)
11:18:22	142186/142186	URF---	200	added ('OK%20(cached)')	image/jpeg		https://bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/77041751024467618.jpeg	/home/user/websites/Dj%20sample/bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/77041751024467618.jpg	(from https://dharmanandanjewellers.bytecard.in/)
11:18:23	226923/226923	URF---	200	added ('OK%20(cached)')	image/jpeg		https://bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/72021751024474273.jpeg	/home/user/websites/Dj%20sample/bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/72021751024474273.jpg	(from https://dharmanandanjewellers.bytecard.in/)
11:18:23	146910/146910	URF---	200	added ('OK%20(cached)')	image/jpeg		https://bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/18261751024479411.jpeg	/home/user/websites/Dj%20sample/bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/18261751024479411.jpg	(from https://dharmanandanjewellers.bytecard.in/)
11:18:23	156520/156520	---MCZ	200	added ('OK')	font/ttf	etag:W/%2226368-197d4546692%22	https://dharmanandanjewellers.bytecard.in/_next/static/media/poppins-medium.a52d0bf0.ttf	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/media/poppins-medium.a52d0bf0.ttf	(from https://dharmanandanjewellers.bytecard.in/_next/static/css/9eba69d77386cb6f.css)
11:18:23	91460/91460	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://dharmanandanjewellers.bytecard.in/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://dharmanandanjewellers.bytecard.in/)
11:18:24	16376/16376	---M--	200	added ('OK')	font/woff2	etag:W/%223ff8-197d4546692%22	https://dharmanandanjewellers.bytecard.in/_next/static/media/poppins-regular.206f6b9e.woff2	/home/user/websites/Dj%20sample/dharmanandanjewellers.bytecard.in/_next/static/media/poppins-regular.206f6b9e.woff2	(from https://dharmanandanjewellers.bytecard.in/_next/static/css/9eba69d77386cb6f.css)
11:18:26	163330/163330	URF---	200	added ('OK%20(cached)')	image/jpeg		https://bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/58731751024915103.jpeg	/home/user/websites/Dj%20sample/bytebiz.fra1.cdn.digitaloceanspaces.com/byte-qr/5454/mini-web/58731751024915103.jpg	(from https://dharmanandanjewellers.bytecard.in/)
